y_true,y_pred
11.1780615,11.444439
8.580584,8.920321
37.93579,37.81095
39.010857,39.765686
16.825607,16.22103
24.679855,24.536293
34.76609,34.424812
18.881948,18.416273
26.761524,26.724407
33.31164,33.66693
12.651735,12.439552
38.798317,38.624146
19.203537,19.508402
12.555538,12.439552
20.651945,20.326462
24.92352,24.540718
19.60645,19.338741
13.261992,13.561611
33.922527,33.637856
23.703232,23.607613
32.967968,32.57852
13.219282,13.383726
22.794477,22.191887
34.237865,34.2641
34.28758,34.22978
12.8057785,12.8695965
10.198367,10.42786
8.92876,8.577738
10.078968,10.509552
23.770739,23.60249
21.06532,21.36169
33.659756,33.474174
26.072994,26.88961
24.359251,24.508835
15.3614435,15.562046
18.813705,18.653908
26.022594,26.724407
38.214687,38.60005
35.92549,35.16648
25.110666,25.272892
31.993046,31.812439
21.03297,21.377247
27.129164,27.871132
16.825047,16.460056
31.29854,31.534054
41.363014,41.637646
14.32184,14.721024
36.352787,36.04
23.255627,23.845402
16.522837,16.22103
23.140865,23.556892
31.22855,31.534058
24.259983,24.536293
37.228672,37.728798
40.06469,40.456635
32.70539,32.519943
24.180191,24.486736
20.176575,20.52312
15.4081955,15.421217
22.662071,21.913916
36.42045,36.04001
9.772019,9.4446335
35.109257,35.151726
39.229767,39.522476
41.78404,41.2584
31.100397,31.537764
9.956169,9.514313
34.525852,34.598232
16.83008,16.412477
34.79903,34.2641
40.08207,40.392876
34.248096,34.405254
14.800503,14.57386
33.234924,33.28754
28.27016,28.92574
22.588186,22.076105
34.401398,34.422157
14.52297,14.735861
21.990791,21.714352
33.049343,33.637856
28.242878,28.451942
24.99359,24.423386
19.704905,19.886726
22.835363,22.285225
27.947681,27.555267
16.202162,16.213413
16.828848,15.879608
24.213133,24.641582
33.48569,33.49477
23.485016,23.745728
14.128921,14.506394
13.965001,13.696409
24.39294,24.536293
33.89361,33.358795
36.2245,36.06331
22.481497,22.036753
40.936207,40.477814
22.379768,22.120426
34.500885,34.542328
28.970795,28.825256
20.646263,20.230724
17.118965,17.723492
21.741043,21.098022
15.911425,15.20549
13.974528,13.530936
36.408554,36.17588
8.267364,8.534786
37.120247,37.958317
14.364136,14.608555
33.39383,33.44153
35.020256,35.333107
11.252282,11.325577
14.26908,14.554325
17.133678,17.658386
10.058701,10.585327
8.859292,8.473366
23.319616,23.57116
39.3341,39.528435
21.602112,21.291643
23.15204,23.661232
38.197857,38.91586
40.006317,40.435715
27.832285,27.609941
14.281488,14.506394
14.240354,14.721024
20.808994,20.64082
36.995594,36.33999
13.43693,13.84128
34.60567,34.422157
41.28219,41.284286
8.181199,8.473366
40.56869,40.767258
33.20872,33.637856
16.843725,16.460054
37.953197,37.687862
32.76994,32.499016
19.0517,19.334698
15.44545,15.365643
15.645455,15.365643
31.824287,31.572918
14.126201,14.573861
13.442221,13.555294
12.00768,12.5568695
15.555095,15.3759775
18.147816,18.717827
35.781544,35.333107
12.264914,12.847654
32.429893,32.336525
21.434517,21.26456
36.018135,36.417553
37.34243,37.828346
29.913723,29.4541
41.225838,41.098267
24.634567,24.540718
33.46323,33.484383
20.70358,20.326462
32.574722,32.4883
37.211525,37.769363
18.245989,18.492758
22.235659,22.049147
41.78639,41.46217
36.780575,35.99128
13.767969,13.383726
8.347805,8.473366
27.211521,27.51525
28.230743,28.825256
14.329806,14.608555
38.740025,38.624146
37.99197,37.795593
29.069681,29.59913
16.807634,16.500557
39.07157,39.69607
15.655799,15.438314
19.848862,19.533249
16.407051,16.307316
8.223059,8.678322
16.319069,16.421217
9.385058,9.592888
38.79952,38.499313
19.697784,19.886726
11.859752,11.522141
41.63656,41.775658
19.171066,19.483326
15.685235,15.562046
27.750439,27.615246
35.490227,35.075706
31.634848,31.42287
29.208576,29.60009
14.553435,14.622004
18.014471,18.602108
21.399885,21.454937
28.131247,28.825256
8.2462435,8.809946
8.9061775,8.473366
33.385117,33.47296
41.993923,41.342606
12.16326,12.690526
33.590393,33.474174
13.497539,13.555294
9.956095,9.483715
33.54613,33.66693
18.643936,18.663805
28.438879,28.481054
40.34688,40.552704
12.84986,12.439552
21.650608,21.208515
24.358152,24.419182
27.991938,27.609941
13.441806,13.561611
21.053646,21.191017
34.345715,34.405254
29.791185,29.532093
14.907083,14.465023
19.624527,19.558353
27.922533,27.51525
21.44779,21.377247
31.901682,31.431759
24.374998,24.436253
32.5666,32.57852
40.10124,40.552704
24.097387,24.44858
30.704514,30.503605
29.40488,29.367228
16.563734,16.220604
38.50817,38.683403
31.841463,31.511436
22.474598,22.13977
35.494152,35.180134
8.89929,8.585169
28.165112,28.582687
38.681114,38.671494
37.73504,38.06855
10.07687,10.643696
31.975119,31.63298
20.030317,20.43349
37.242035,37.870132
8.337726,8.688309
17.210796,17.452536
11.412496,11.384561
18.183432,18.416275
25.592442,25.49732
24.49389,24.42339
23.673847,23.71398
16.871563,16.32409
41.110043,41.56787
31.542421,31.402306
37.238964,37.94783
41.005424,41.543625
26.53871,26.857166
29.361607,29.532093
31.814007,31.812439
34.901375,34.151512
14.131311,14.465024
18.285378,18.362915
24.425486,24.404186
22.66835,22.345915
36.203503,36.27018
40.695843,40.456635
33.756824,33.55297
28.045305,28.582687
22.619946,21.94751
20.170927,20.276447
40.053703,40.59549
19.569973,19.533249
30.627413,30.406195
17.347862,17.559391
19.34048,19.116486
34.710747,34.19297
32.99819,32.38364
14.531585,14.076238
13.841072,13.450344
31.782005,31.812439
12.589173,12.814247
8.611642,8.678322
17.048267,17.398981
12.261196,12.814247
34.483234,34.424812
18.374882,18.52852
37.31696,37.83129
33.06187,33.66693
34.71501,34.25963
13.738282,13.543105
13.868859,13.696409
8.293177,8.688309
26.131643,26.615135
32.79743,32.38364
13.7120905,13.543105
23.205553,23.597479
21.98043,21.098022
