y_true,y_pred
11.1780615,11.688049
8.580584,8.566069
37.93579,37.015686
39.010857,39.48051
16.825607,16.51002
24.679855,24.60381
34.76609,34.51455
18.881948,18.532324
26.761524,26.345114
33.31164,34.042625
12.651735,12.18712
38.798317,38.67286
19.203537,19.683218
12.555538,12.187119
20.651945,20.687063
24.92352,24.84017
19.60645,19.48005
13.261992,13.405851
33.922527,33.97235
23.703232,23.691648
32.967968,32.319366
13.219282,13.579885
22.794477,22.249231
34.237865,34.804626
34.28758,34.67338
12.8057785,12.5330715
10.198367,10.522034
8.92876,8.400918
10.078968,10.614883
23.770739,23.650915
21.06532,21.589468
33.659756,33.58276
26.072994,26.231527
24.359251,24.512157
15.3614435,15.683135
18.813705,18.803925
26.022594,26.345114
38.214687,38.798557
35.92549,35.34501
25.110666,25.481386
31.993046,31.596449
21.03297,21.565475
27.129164,27.522274
16.825047,16.509903
31.29854,31.241884
41.363014,41.727467
14.32184,14.9561615
36.352787,36.24179
23.255627,23.907902
16.522837,16.51002
23.140865,23.796606
31.22855,31.241884
24.259983,24.60381
37.228672,37.178066
40.06469,40.4232
32.70539,32.44272
24.180191,24.406736
20.176575,20.468876
15.4081955,15.322153
22.662071,21.99062
36.42045,36.24179
9.772019,9.410265
35.109257,35.461094
39.229767,39.42521
41.78404,41.76411
31.100397,31.34892
9.956169,9.628805
34.525852,34.873753
16.83008,16.272627
34.79903,34.804626
40.08207,40.21688
34.248096,34.635254
14.800503,14.710072
33.234924,33.759
28.27016,28.911144
22.588186,22.181362
34.401398,34.459816
14.52297,14.4961605
21.990791,21.608301
33.049343,33.97235
28.242878,28.713358
24.99359,24.638796
19.704905,19.826162
22.835363,22.454882
27.947681,27.368671
16.202162,16.399822
16.828848,16.192663
24.213133,24.71283
33.48569,33.58512
23.485016,23.760878
14.128921,14.647636
13.965001,13.87862
24.39294,24.60381
33.89361,33.53978
36.2245,36.19309
22.481497,22.256916
40.936207,40.07455
22.379768,22.123983
34.500885,34.797333
28.970795,28.989437
20.646263,20.296263
17.118965,17.387156
21.741043,21.173388
15.911425,15.283058
13.974528,13.638432
36.408554,36.17267
8.267364,8.512613
37.120247,37.016514
14.364136,14.765451
33.39383,34.007088
35.020256,35.34926
11.252282,11.503597
14.26908,14.284051
17.133678,17.074766
10.058701,10.741814
8.859292,8.5651655
23.319616,23.860733
39.3341,39.436005
21.602112,21.495768
23.15204,23.834986
38.197857,38.745148
40.006317,40.22017
27.832285,27.25408
14.281488,14.647636
14.240354,14.9561615
20.808994,20.397093
36.995594,36.345406
13.43693,14.006342
34.60567,34.459812
41.28219,41.76116
8.181199,8.5651655
40.56869,40.382957
33.20872,33.97235
16.843725,16.509903
37.953197,37.371677
32.76994,32.25483
19.0517,19.458363
15.44545,15.524176
15.645455,15.524176
31.824287,31.286142
14.126201,14.710071
13.442221,13.824228
12.00768,12.411924
15.555095,15.178295
18.147816,18.846895
35.781544,35.34926
12.264914,12.541289
32.429893,32.350624
21.434517,21.373964
36.018135,36.568123
37.34243,36.987892
29.913723,29.495306
41.225838,41.781612
24.634567,24.840172
33.46323,33.769897
20.70358,20.687063
32.574722,32.118095
37.211525,37.052185
18.245989,18.745218
22.235659,22.239546
41.78639,41.59655
36.780575,36.417686
13.767969,13.579885
8.347805,8.5651655
27.211521,27.231401
28.230743,28.989439
14.329806,14.765451
38.740025,38.67286
37.99197,37.088104
29.069681,29.598019
16.807634,16.280626
39.07157,39.46717
15.655799,15.710617
19.848862,19.733435
16.407051,16.512396
8.223059,8.796017
16.319069,16.620436
9.385058,9.732113
38.79952,38.785904
19.697784,19.826162
11.859752,11.706322
41.63656,41.7547
19.171066,19.587126
15.685235,15.683135
27.750439,27.079983
35.490227,35.466682
31.634848,31.321348
29.208576,29.840849
14.553435,14.454631
18.014471,18.843634
21.399885,21.352024
28.131247,28.989437
8.2462435,8.480949
8.9061775,8.5651655
33.385117,33.72162
41.993923,41.42001
12.16326,12.102065
33.590393,33.58276
13.497539,13.824228
9.956095,9.477564
33.54613,34.042625
18.643936,18.557003
28.438879,28.746958
40.34688,40.29544
12.84986,12.187119
21.650608,21.415545
24.358152,24.709013
