y_true,y_pred
11.1780615,11.487327
8.580584,8.576637
37.93579,37.23044
39.010857,39.76091
16.825607,16.412132
24.679855,24.418528
34.76609,34.453915
18.881948,18.582884
26.761524,26.776127
33.31164,33.673874
12.651735,12.542672
38.798317,38.754604
19.203537,19.23924
12.555538,12.542672
20.651945,19.958838
24.92352,24.256613
19.60645,19.51386
13.261992,13.273966
33.922527,33.93506
23.703232,23.507975
32.967968,32.700043
13.219282,13.349126
22.794477,22.567173
34.237865,34.62361
34.28758,34.33764
12.8057785,12.697787
10.198367,10.569842
8.92876,8.791009
10.078968,10.917076
23.770739,23.305597
21.06532,21.76334
33.659756,33.686447
26.072994,26.694159
24.359251,24.517962
15.3614435,15.61523
18.813705,18.369589
26.022594,26.776127
38.214687,38.639908
35.92549,35.368122
25.110666,25.162798
31.993046,31.160566
21.03297,21.728724
27.129164,27.624287
16.825047,16.455719
31.29854,31.225655
41.363014,41.630875
14.32184,15.161319
36.352787,36.236732
23.255627,23.644474
16.522837,16.412132
23.140865,23.641886
31.22855,31.225653
24.259983,24.418528
37.228672,37.14139
40.06469,40.70727
32.70539,32.991444
24.180191,24.31279
20.176575,20.20649
15.4081955,15.523767
22.662071,22.385046
36.42045,36.236732
9.772019,9.6800165
35.109257,35.52467
39.229767,39.523056
41.78404,41.116837
31.100397,31.112356
9.956169,9.582904
34.525852,34.543957
16.83008,16.66802
34.79903,34.62361
40.08207,40.333424
34.248096,34.526627
14.800503,14.607675
33.234924,33.46948
28.27016,28.443361
22.588186,22.933325
34.401398,34.58229
14.52297,14.685128
21.990791,21.649176
33.049343,33.93506
28.242878,28.409716
24.99359,24.617085
19.704905,19.337227
22.835363,22.569197
27.947681,27.630419
16.202162,16.531977
16.828848,16.144936
24.213133,24.284262
33.48569,33.6155
23.485016,23.542057
14.128921,14.853554
13.965001,13.252815
24.39294,24.418528
33.89361,33.63939
36.2245,36.365234
22.481497,22.544832
40.936207,40.58255
22.379768,22.695532
34.500885,34.787308
28.970795,28.524672
20.646263,19.816847
17.118965,17.538242
21.741043,21.551376
15.911425,15.210834
13.974528,13.420342
36.408554,36.344093
8.267364,8.4240885
37.120247,37.06512
14.364136,14.667422
33.39383,33.53179
35.020256,35.331768
11.252282,11.490527
14.26908,14.570723
17.133678,17.380886
10.058701,10.517843
8.859292,8.312996
23.319616,23.444365
39.3341,39.734512
21.602112,21.632286
23.15204,23.577173
38.197857,38.879517
40.006317,40.608013
27.832285,27.661337
14.281488,14.853554
14.240354,15.161319
20.808994,20.343767
36.995594,36.33692
13.43693,13.583026
34.60567,34.58229
41.28219,41.37153
8.181199,8.312996
40.56869,40.66164
33.20872,33.93506
16.843725,16.455717
37.953197,37.11775
32.76994,32.759914
19.0517,18.902794
15.44545,15.62218
15.645455,15.622178
31.824287,31.470201
14.126201,14.607674
13.442221,13.252196
12.00768,12.391126
15.555095,15.383836
18.147816,18.512651
35.781544,35.331768
12.264914,12.447491
32.429893,32.62175
21.434517,22.08083
36.018135,36.303547
37.34243,37.17102
29.913723,29.199152
41.225838,41.296528
24.634567,24.256613
33.46323,33.61566
20.70358,19.958838
32.574722,33.111164
37.211525,37.070015
18.245989,18.370893
22.235659,22.757345
41.78639,41.322464
36.780575,36.095528
13.767969,13.349126
8.347805,8.312995
27.211521,27.627333
28.230743,28.524672
14.329806,14.667423
38.740025,38.754604
37.99197,37.141407
29.069681,29.530943
